Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         14.56             1.789501e+24         5.594132e+21         1.769020e+23        9.886%
         19.31             1.786807e+24         5.560286e+21         1.758317e+23        9.841%
         25.60             1.780074e+24         5.513735e+21         1.743596e+23        9.795%
         33.93             1.769118e+24         5.460578e+21         1.726786e+23        9.761%
         44.98             1.759399e+24         5.489214e+21         1.735842e+23        9.866%
         59.64             1.784143e+24         5.979783e+21         1.890973e+23        10.599%
         79.06             1.938078e+24         7.582003e+21         2.397640e+23        12.371%
         104.8             2.320914e+24         1.015025e+22         3.209792e+23        13.830%
         138.9             2.881682e+24         1.248126e+22         3.946921e+23        13.697%
         184.2             3.468453e+24         1.414867e+22         4.474202e+23        12.900%
         244.2             4.009234e+24         1.557333e+22         4.924719e+23        12.283%
         323.7             4.522757e+24         1.711451e+22         5.412084e+23        11.966%
         429.2             5.054404e+24         1.891354e+22         5.980985e+23        11.833%
         569.0             5.645344e+24         2.102577e+22         6.648931e+23        11.778%
         754.3             6.330581e+24         2.350857e+22         7.434063e+23        11.743%
         1000.             7.151430e+24         2.655323e+22         8.396870e+23        11.742%

Energy mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             1.903430e+26         6.129822e+23         1.938420e+25        10.184%
         0.1326E-02             1.863652e+26         5.855086e+23         1.851541e+25        9.935%
         0.1758E-02             1.813210e+26         5.548998e+23         1.754747e+25        9.678%
         0.2330E-02             1.753175e+26         5.235191e+23         1.655513e+25        9.443%
         0.3089E-02             1.685914e+26         4.935882e+23         1.560863e+25        9.258%
         0.4095E-02             1.614473e+26         4.668102e+23         1.476184e+25        9.143%
         0.5429E-02             1.541510e+26         4.431073e+23         1.401228e+25        9.090%
         0.7197E-02             1.468078e+26         4.206542e+23         1.330226e+25        9.061%
         0.9541E-02             1.393494e+26         3.975405e+23         1.257133e+25        9.021%
         0.1265E-01             1.315554e+26         3.719691e+23         1.176269e+25        8.941%
         0.1677E-01             1.231313e+26         3.425677e+23         1.083294e+25        8.798%
         0.2223E-01             1.137636e+26         3.089197e+23         9.768898e+24        8.587%
         0.2947E-01             1.031600e+26         2.706224e+23         8.557832e+24        8.296%
         0.3907E-01             9.113736e+25         2.288728e+23         7.237595e+24        7.941%
         0.5179E-01             7.781145e+25         1.863875e+23         5.894091e+24        7.575%
         0.6866E-01             6.378218e+25         1.468866e+23         4.644962e+24        7.283%
         0.9103E-01             5.011488e+25         1.128503e+23         3.568641e+24        7.121%
         0.1207             3.795234e+25         8.466823e+22         2.677444e+24        7.055%
         0.1600             2.803501e+25         6.185100e+22         1.955900e+24        6.977%
         0.2121             2.058567e+25         4.413572e+22         1.395694e+24        6.780%
         0.2812             1.545738e+25         3.202617e+22         1.012756e+24        6.552%
         0.3728             1.210512e+25         2.499997e+22         7.905685e+23        6.531%
         0.4942             9.824463e+24         2.060475e+22         6.515793e+23        6.632%
         0.6551             8.150177e+24         1.745607e+22         5.520094e+23        6.773%
         0.8685             6.882745e+24         1.529088e+22         4.835399e+23        7.025%
         1.151             5.934972e+24         1.387377e+22         4.387272e+23        7.392%
         1.526             5.233856e+24         1.286899e+22         4.069531e+23        7.775%
         2.024             4.703011e+24         1.200775e+22         3.797185e+23        8.074%
         2.683             4.276798e+24         1.115860e+22         3.528660e+23        8.251%
         3.556             3.910459e+24         1.029849e+22         3.256669e+23        8.328%
         4.715             3.581403e+24         9.467004e+21         2.993729e+23        8.359%
         6.251             3.284228e+24         8.722303e+21         2.758235e+23        8.398%
         8.286             3.021397e+24         8.092208e+21         2.558981e+23        8.470%
         10.99             2.794538e+24         7.572993e+21         2.394791e+23        8.570%
