Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         14.56             9.802327e+24         3.875768e+21         1.225625e+23        1.250%
         19.31             1.047086e+25         4.055997e+21         1.282619e+23        1.225%
         25.60             1.117546e+25         4.395442e+21         1.389961e+23        1.244%
         33.93             1.202891e+25         4.918506e+21         1.555368e+23        1.293%
         44.98             1.314699e+25         5.737871e+21         1.814474e+23        1.380%
         59.64             1.469065e+25         7.174228e+21         2.268690e+23        1.544%
         79.06             1.690758e+25         9.932210e+21         3.140841e+23        1.858%
         104.8             2.020642e+25         1.565397e+22         4.950218e+23        2.450%
         138.9             2.524668e+25         2.769171e+22         8.756889e+23        3.469%
         184.2             3.307405e+25         5.258722e+22         1.662954e+24        5.028%
         244.2             4.516027e+25         1.006778e+23         3.183713e+24        7.050%
         323.7             6.321990e+25         1.854854e+23         5.865562e+24        9.278%
         429.2             8.903695e+25         3.220132e+23         1.018295e+25        11.437%
         569.0             1.252321e+26         5.365303e+23         1.696658e+25        13.548%
         754.3             1.774914e+26         8.922304e+23         2.821480e+25        15.896%
         1000.             2.595046e+26         1.545275e+24         4.886590e+25        18.830%

Energy mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             3.257308e+25         1.040531e+22         3.290447e+23        1.010%
         0.1326E-02             3.256833e+25         1.039922e+22         3.288523e+23        1.010%
         0.1758E-02             3.255982e+25         1.038845e+22         3.285116e+23        1.009%
         0.2330E-02             3.254472e+25         1.037175e+22         3.279834e+23        1.008%
         0.3089E-02             3.251871e+25         1.035181e+22         3.273530e+23        1.007%
         0.4095E-02             3.247373e+25         1.030245e+22         3.257922e+23        1.003%
         0.5429E-02             3.239559e+25         1.023863e+22         3.237738e+23        0.999%
         0.7197E-02             3.226380e+25         1.011614e+22         3.199004e+23        0.992%
         0.9541E-02             3.204455e+25         9.922099e+21         3.137643e+23        0.979%
         0.1265E-01             3.169074e+25         9.625097e+21         3.043723e+23        0.960%
         0.1677E-01             3.114365e+25         9.194374e+21         2.907516e+23        0.934%
         0.2223E-01             3.034438e+25         8.610735e+21         2.722954e+23        0.897%
         0.2947E-01             2.923488e+25         7.893357e+21         2.496099e+23        0.854%
         0.3907E-01             2.780453e+25         7.085124e+21         2.240513e+23        0.806%
         0.5179E-01             2.608307e+25         6.236326e+21         1.972100e+23        0.756%
         0.6866E-01             2.414195e+25         5.419988e+21         1.713951e+23        0.710%
         0.9103E-01             2.206792e+25         4.661824e+21         1.474198e+23        0.668%
         0.1207             1.995198e+25         3.980568e+21         1.258766e+23        0.631%
         0.1600             1.786514e+25         3.390173e+21         1.072067e+23        0.600%
         0.2121             1.586249e+25         2.860224e+21         9.044822e+22        0.570%
         0.2812             1.398297e+25         2.422963e+21         7.662082e+22        0.548%
         0.3728             1.224883e+25         2.039287e+21         6.448790e+22        0.526%
         0.4942             1.067064e+25         1.718355e+21         5.433915e+22        0.509%
         0.6551             9.249849e+24         1.434002e+21         4.534711e+22        0.490%
         0.8685             7.991160e+24         1.223501e+21         3.869051e+22        0.484%
         1.151             6.909220e+24         1.084473e+21         3.429405e+22        0.496%
         1.526             6.005552e+24         9.872152e+20         3.121849e+22        0.520%
         2.024             5.254092e+24         8.992197e+20         2.843582e+22        0.541%
         2.683             4.622590e+24         8.210262e+20         2.596313e+22        0.562%
         3.556             4.095736e+24         7.731494e+20         2.444913e+22        0.597%
         4.715             3.694912e+24         8.236216e+20         2.604520e+22        0.705%
         6.251             3.503412e+24         1.052347e+21         3.327813e+22        0.950%
         8.286             3.532594e+24         1.214580e+21         3.840839e+22        1.087%
         10.99             3.614706e+24         1.232287e+21         3.896832e+22        1.078%
         14.56             3.683466e+24         1.232846e+21         3.898601e+22        1.058%
         19.31             3.743605e+24         1.241444e+21         3.925789e+22        1.049%
         25.60             3.806699e+24         1.260862e+21         3.987195e+22        1.047%
         33.93             3.883279e+24         1.295125e+21         4.095545e+22        1.055%
