Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         14.56             9.811261e+24         4.693547e+20         1.484230e+23        1.513%
         19.31             1.048117e+25         5.396962e+20         1.706669e+23        1.628%
         25.60             1.118668e+25         6.276634e+20         1.984846e+23        1.774%
         33.93             1.204074e+25         7.384309e+20         2.335124e+23        1.939%
         44.98             1.315934e+25         8.864323e+20         2.803145e+23        2.130%
         59.64             1.470307e+25         1.099288e+21         3.476252e+23        2.364%
         79.06             1.691917e+25         1.427006e+21         4.512589e+23        2.667%
         104.8             2.021279e+25         1.975362e+21         6.246644e+23        3.090%
         138.9             2.523622e+25         2.954859e+21         9.344084e+23        3.703%
         184.2             3.301596e+25         4.768509e+21         1.507935e+24        4.567%
         244.2             4.498854e+25         7.999233e+21         2.529580e+24        5.623%
         323.7             6.282076e+25         1.334822e+22         4.221078e+24        6.719%
         429.2             8.824023e+25         2.152734e+22         6.807543e+24        7.715%
         569.0             1.237926e+26         3.386906e+22         1.071034e+25        8.652%
         754.3             1.748326e+26         5.359975e+22         1.694973e+25        9.695%
         1000.             2.542881e+26         8.857749e+22         2.801066e+25        11.015%

Energy mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             3.256280e+25         1.029763e+21         3.256398e+23        1.000%
         0.1326E-02             3.255793e+25         1.029306e+21         3.254950e+23        1.000%
         0.1758E-02             3.254940e+25         1.028566e+21         3.252611e+23        0.999%
         0.2330E-02             3.253452e+25         1.027139e+21         3.248098e+23        0.998%
         0.3089E-02             3.250848e+25         1.024701e+21         3.240389e+23        0.997%
         0.4095E-02             3.246335e+25         1.020425e+21         3.226866e+23        0.994%
         0.5429E-02             3.238569e+25         1.013305e+21         3.204351e+23        0.989%
         0.7197E-02             3.225391e+25         1.001436e+21         3.166819e+23        0.982%
         0.9541E-02             3.203490e+25         9.824053e+20         3.106638e+23        0.970%
         0.1265E-01             3.168172e+25         9.530365e+20         3.013766e+23        0.951%
         0.1677E-01             3.113520e+25         9.104512e+20         2.879099e+23        0.925%
         0.2223E-01             3.033446e+25         8.531341e+20         2.697847e+23        0.889%
         0.2947E-01             2.922631e+25         7.821923e+20         2.473509e+23        0.846%
         0.3907E-01             2.779753e+25         7.017920e+20         2.219261e+23        0.798%
         0.5179E-01             2.607765e+25         6.180715e+20         1.954514e+23        0.749%
         0.6866E-01             2.413687e+25         5.367043e+20         1.697208e+23        0.703%
         0.9103E-01             2.206436e+25         4.616733e+20         1.459939e+23        0.662%
         0.1207             1.994884e+25         3.942461e+20         1.246716e+23        0.625%
         0.1600             1.786265e+25         3.351167e+20         1.059732e+23        0.593%
         0.2121             1.586078e+25         2.835794e+20         8.967569e+22        0.565%
         0.2812             1.398151e+25         2.394563e+20         7.572273e+22        0.542%
         0.3728             1.224767e+25         2.018204e+20         6.382120e+22        0.521%
         0.4942             1.066948e+25         1.695507e+20         5.361663e+22        0.503%
         0.6551             9.248960e+24         1.421048e+20         4.493748e+22        0.486%
         0.8685             7.990463e+24         1.211928e+20         3.832453e+22        0.480%
         1.151             6.908521e+24         1.074375e+20         3.397472e+22        0.492%
         1.526             6.004978e+24         9.778787e+19         3.092324e+22        0.515%
         2.024             5.253563e+24         8.913045e+19         2.818552e+22        0.537%
         2.683             4.622132e+24         8.127747e+19         2.570219e+22        0.556%
         3.556             4.095260e+24         7.662786e+19         2.423186e+22        0.592%
         4.715             3.694525e+24         8.151762e+19         2.577813e+22        0.698%
         6.251             3.503143e+24         1.042113e+20         3.295452e+22        0.941%
         8.286             3.532678e+24         1.206492e+20         3.815264e+22        1.080%
         10.99             3.615205e+24         1.237894e+20         3.914566e+22        1.083%
         14.56             3.684234e+24         1.261975e+20         3.990717e+22        1.083%
         19.31             3.744595e+24         1.306668e+20         4.132046e+22        1.103%
         25.60             3.807850e+24         1.375172e+20         4.348674e+22        1.142%
         33.93             3.884434e+24         1.475653e+20         4.666424e+22        1.201%
         44.98             3.983377e+24         1.610999e+20         5.094425e+22        1.279%
         59.64             4.114721e+24         1.800328e+20         5.693136e+22        1.384%
         79.06             4.286436e+24         2.070713e+20         6.548169e+22        1.528%
         104.8             4.504665e+24         2.491556e+20         7.878991e+22        1.749%
         138.9             4.763105e+24         3.119873e+20         9.865906e+22        2.071%
         184.2             5.035010e+24         3.961335e+20         1.252684e+23        2.488%
         244.2             5.264595e+24         4.850867e+20         1.533979e+23        2.914%
         323.7             5.382760e+24         5.573880e+20         1.762616e+23        3.275%
         429.2             5.354975e+24         6.041818e+20         1.910591e+23        3.568%
         569.0             5.214350e+24         6.388089e+20         2.020091e+23        3.874%
         754.3             5.037778e+24         6.798422e+20         2.149850e+23        4.267%
         1000.             4.913232e+24         7.426554e+20         2.348483e+23        4.780%

Energy diffusion coef. D*N (1/m/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             8.418505e+23         2.663864e+19         8.423876e+21        1.001%
         0.1326E-02             8.419243e+23         2.664585e+19         8.426157e+21        1.001%
         0.1758E-02             8.420539e+23         2.665774e+19         8.429918e+21        1.001%
         0.2330E-02             8.422811e+23         2.667990e+19         8.436924e+21        1.002%
         0.3089E-02             8.426788e+23         2.671719e+19         8.448719e+21        1.003%
         0.4095E-02             8.433728e+23         2.678271e+19         8.469437e+21        1.004%
         0.5429E-02             8.445785e+23         2.689457e+19         8.504809e+21        1.007%
         0.7197E-02             8.466559e+23         2.708613e+19         8.565385e+21        1.012%
         0.9541E-02             8.501907e+23         2.740550e+19         8.666380e+21        1.019%
         0.1265E-01             8.560935e+23         2.792371e+19         8.830252e+21        1.031%
         0.1677E-01             8.656948e+23         2.873494e+19         9.086787e+21        1.050%
         0.2223E-01             8.807715e+23         2.994476e+19         9.469366e+21        1.075%
         0.2947E-01             9.035552e+23         3.166348e+19         1.001287e+22        1.108%
         0.3907E-01             9.364750e+23         3.398298e+19         1.074636e+22        1.148%
         0.5179E-01             9.820386e+23         3.698110e+19         1.169445e+22        1.191%
         0.6866E-01             1.042693e+24         4.074357e+19         1.288425e+22        1.236%
         0.9103E-01             1.120886e+24         4.530965e+19         1.432817e+22        1.278%
         0.1207             1.218768e+24         5.072448e+19         1.604049e+22        1.316%
         0.1600             1.338043e+24         5.694202e+19         1.800665e+22        1.346%
         0.2121             1.479619e+24         6.396862e+19         2.022865e+22        1.367%
         0.2812             1.643624e+24         7.165647e+19         2.265977e+22        1.379%
         0.3728             1.829497e+24         7.992354e+19         2.527404e+22        1.381%
         0.4942             2.035888e+24         8.864824e+19         2.803303e+22        1.377%
         0.6551             2.260737e+24         9.772060e+19         3.090197e+22        1.367%
         0.8685             2.503703e+24         1.077339e+20         3.406845e+22        1.361%
         1.151             2.776313e+24         1.211209e+20         3.830179e+22        1.380%
         1.526             3.110064e+24         1.408197e+20         4.453110e+22        1.432%
         2.024             3.546073e+24         1.683709e+20         5.324355e+22        1.501%
         2.683             4.125591e+24         2.054018e+20         6.495376e+22        1.574%
         3.556             4.911009e+24         2.599670e+20         8.220879e+22        1.674%
         4.715             6.117000e+24         3.730902e+20         1.179815e+23        1.929%
         6.251             8.335657e+24         5.733295e+20         1.813027e+23        2.175%
         8.286             1.103477e+25         6.304072e+20         1.993523e+23        1.807%
         10.99             1.294173e+25         6.619550e+20         2.093286e+23        1.617%
         14.56             1.424897e+25         7.575055e+20         2.395443e+23        1.681%
         19.31             1.538279e+25         8.977317e+20         2.838877e+23        1.845%
         25.60             1.661482e+25         1.078761e+21         3.411340e+23        2.053%
         33.93             1.816046e+25         1.316321e+21         4.162573e+23        2.292%
         44.98             2.026651e+25         1.643829e+21         5.198245e+23        2.565%
         59.64             2.329445e+25         2.134441e+21         6.749694e+23        2.898%
         79.06             2.781306e+25         2.938810e+21         9.293334e+23        3.341%
         104.8             3.476880e+25         4.402699e+21         1.392256e+24        4.004%
